,base,add,support,confidence,lift
0,,AI and Machine Learning,0.5,0.5,1.0
1,,Big Data,0.24929577464788732,0.24929577464788732,1.0
2,,Coding,0.46338028169014084,0.46338028169014084,1.0
3,,Communication,0.39436619718309857,0.39436619718309857,1.0
4,,Excel/SAS,0.5985915492957746,0.5985915492957746,1.0
5,,Leadership,0.2943661971830986,0.2943661971830986,1.0
6,,Math/Stats,0.4084507042253521,0.4084507042253521,1.0
7,,Organizational,0.2577464788732394,0.2577464788732394,1.0
8,,Planning and strategy,0.38591549295774646,0.38591549295774646,1.0
9,,SQL,0.33098591549295775,0.33098591549295775,1.0
10,,Visualising,0.14647887323943662,0.14647887323943662,1.0
11,AI and Machine Learning,Big Data,0.18732394366197183,0.37464788732394366,1.502824858757062
12,Big Data,AI and Machine Learning,0.18732394366197183,0.751412429378531,1.502824858757062
13,AI and Machine Learning,Coding,0.3492957746478873,0.6985915492957746,1.5075987841945289
14,Coding,AI and Machine Learning,0.3492957746478873,0.7537993920972644,1.5075987841945289
15,AI and Machine Learning,Communication,0.1676056338028169,0.3352112676056338,0.8500000000000001
16,Communication,AI and Machine Learning,0.1676056338028169,0.42500000000000004,0.8500000000000001
17,AI and Machine Learning,Excel/SAS,0.23661971830985915,0.4732394366197183,0.7905882352941176
18,Excel/SAS,AI and Machine Learning,0.23661971830985915,0.3952941176470588,0.7905882352941176
19,AI and Machine Learning,Leadership,0.12816901408450704,0.2563380281690141,0.8708133971291866
20,Leadership,AI and Machine Learning,0.12816901408450704,0.4354066985645933,0.8708133971291866
21,AI and Machine Learning,Math/Stats,0.271830985915493,0.543661971830986,1.3310344827586207
22,Math/Stats,AI and Machine Learning,0.271830985915493,0.6655172413793103,1.3310344827586207
23,AI and Machine Learning,Planning and strategy,0.17183098591549295,0.3436619718309859,0.8905109489051095
24,Planning and strategy,AI and Machine Learning,0.17183098591549295,0.44525547445255476,0.8905109489051095
25,AI and Machine Learning,SQL,0.21549295774647886,0.4309859154929577,1.302127659574468
26,SQL,AI and Machine Learning,0.21549295774647886,0.651063829787234,1.302127659574468
27,AI and Machine Learning,Visualising,0.10704225352112676,0.2140845070422535,1.4615384615384615
28,Visualising,AI and Machine Learning,0.10704225352112676,0.7307692307692307,1.4615384615384615
29,Big Data,Coding,0.2112676056338028,0.847457627118644,1.8288599247849158
30,Coding,Big Data,0.2112676056338028,0.45592705167173253,1.8288599247849158
31,Big Data,Excel/SAS,0.11690140845070422,0.4689265536723164,0.7833831837819875
32,Excel/SAS,Big Data,0.11690140845070422,0.1952941176470588,0.7833831837819873
33,Big Data,Math/Stats,0.13380281690140844,0.5367231638418078,1.3140463666471847
34,Math/Stats,Big Data,0.13380281690140844,0.3275862068965517,1.3140463666471849
35,Big Data,SQL,0.16338028169014085,0.6553672316384181,1.9800456785671356
36,SQL,Big Data,0.16338028169014085,0.49361702127659574,1.9800456785671354
37,Coding,Communication,0.1591549295774648,0.3434650455927052,0.870929222752931
38,Communication,Coding,0.1591549295774648,0.40357142857142864,0.8709292227529312
39,Coding,Excel/SAS,0.21549295774647886,0.46504559270516715,0.7768996960486322
40,Excel/SAS,Coding,0.21549295774647886,0.36,0.7768996960486322
41,Coding,Leadership,0.10704225352112676,0.23100303951367782,0.7847471677258911
42,Leadership,Coding,0.10704225352112676,0.36363636363636365,0.7847471677258911
43,Coding,Math/Stats,0.2605633802816901,0.5623100303951367,1.3766900744156796
44,Math/Stats,Coding,0.2605633802816901,0.6379310344827586,1.3766900744156796
45,Coding,Planning and strategy,0.15070422535211267,0.3252279635258359,0.8427439930778959
46,Planning and strategy,Coding,0.15070422535211267,0.3905109489051095,0.8427439930778959
47,Coding,SQL,0.2802816901408451,0.6048632218844985,1.827459095906357
48,SQL,Coding,0.2802816901408451,0.8468085106382979,1.8274590959063572
49,Coding,Visualising,0.12535211267605634,0.270516717325228,1.8467968202010756
50,Visualising,Coding,0.12535211267605634,0.8557692307692307,1.8467968202010754
51,Communication,Excel/SAS,0.2704225352112676,0.6857142857142857,1.145546218487395
52,Excel/SAS,Communication,0.2704225352112676,0.4517647058823529,1.145546218487395
53,Communication,Leadership,0.13380281690140844,0.3392857142857143,1.1525974025974026
54,Leadership,Communication,0.13380281690140844,0.45454545454545453,1.1525974025974026
55,Communication,Math/Stats,0.16056338028169015,0.4071428571428572,0.9967980295566503
56,Math/Stats,Communication,0.16056338028169015,0.3931034482758621,0.9967980295566503
57,Communication,Organizational,0.1323943661971831,0.3357142857142857,1.3024980483996877
58,Organizational,Communication,0.1323943661971831,0.5136612021857924,1.302498048399688
59,Communication,Planning and strategy,0.18028169014084508,0.4571428571428572,1.1845672575599584
60,Planning and strategy,Communication,0.18028169014084508,0.4671532846715329,1.1845672575599584
61,Excel/SAS,Leadership,0.2056338028169014,0.3435294117647059,1.1670137911623981
62,Leadership,Excel/SAS,0.2056338028169014,0.6985645933014354,1.167013791162398
63,Excel/SAS,Math/Stats,0.23661971830985915,0.3952941176470588,0.9677890466531439
64,Math/Stats,Excel/SAS,0.23661971830985915,0.5793103448275861,0.9677890466531439
65,Excel/SAS,Organizational,0.19436619718309858,0.3247058823529412,1.259787849566056
66,Organizational,Excel/SAS,0.19436619718309858,0.7540983606557377,1.259787849566056
67,Excel/SAS,Planning and strategy,0.2633802816901408,0.44,1.14014598540146
68,Planning and strategy,Excel/SAS,0.2633802816901408,0.6824817518248175,1.14014598540146
69,Excel/SAS,SQL,0.17464788732394365,0.2917647058823529,0.8815018773466833
70,SQL,Excel/SAS,0.17464788732394365,0.5276595744680851,0.8815018773466834
71,Leadership,Math/Stats,0.11408450704225352,0.3875598086124402,0.9488533245339054
72,Math/Stats,Leadership,0.11408450704225352,0.2793103448275862,0.9488533245339054
73,Leadership,Organizational,0.1056338028169014,0.3588516746411483,1.3922660600831438
74,Organizational,Leadership,0.1056338028169014,0.4098360655737705,1.3922660600831438
75,Leadership,Planning and strategy,0.11408450704225352,0.3875598086124402,1.0042608179373451
76,Planning and strategy,Leadership,0.11408450704225352,0.2956204379562044,1.0042608179373451
77,Math/Stats,Planning and strategy,0.1563380281690141,0.3827586206896552,0.9918197835388877
78,Planning and strategy,Math/Stats,0.1563380281690141,0.40510948905109495,0.9918197835388877
79,Math/Stats,SQL,0.19014084507042253,0.46551724137931033,1.4064563462949375
80,SQL,Math/Stats,0.19014084507042253,0.5744680851063829,1.4064563462949375
81,Organizational,Planning and strategy,0.11830985915492957,0.45901639344262296,1.1894220414024173
82,Planning and strategy,Organizational,0.11830985915492957,0.30656934306569344,1.1894220414024173
83,Planning and strategy,SQL,0.11549295774647887,0.29927007299270075,0.9041776673396491
84,SQL,Planning and strategy,0.11549295774647887,0.34893617021276596,0.9041776673396491
85,SQL,Visualising,0.1028169014084507,0.31063829787234043,2.1207037643207856
86,Visualising,SQL,0.1028169014084507,0.701923076923077,2.1207037643207856
